globalId,examNumber,questionNumber,question,reference
1,1,1,What are two responsibilities that you will have as a British citizen or permanent resident of the UK?,"If you wish to be a permanent resident or citizen of the UK, you should: look after yourself and your family, look after the area in which you live and the environment, respect and obey the law, respect the rights of others, including their right to their own opinions and treat others with fairness."
2,1,2,Where is Big Ben located?,Big Ben is the nickname for the great bell of the clock at the Houses of Parliament in London. Many people call the clock Big Ben as well. The clock is over 150 years old and is a popular tourist attraction. The clock tower is named ‘Elizabeth Tower’ in honour of Queen Elizabeth II’s Diamond Jubilee in 2012.
3,1,3,When were men and women given the right to vote at the age of 21?,"In 1918, women over the age of 30 were given voting rights and the right to stand for Parliament, partly in recognition of the contribution women made to the war effort during the First World War. Shortly before Emmeline’s death in 1928, women were given the right to vote at the age of 21, the same as men."
4,1,4,Where is the UK geographically located?,The UK is located in the north west of Europe.
5,1,5,Who is the patron Saint of Scotland?,"Each country in the UK has a patron saint and an associated day: St David's Day (1 March, Wales), St Patrick's Day (17 March, Northern Ireland), St George's Day (23 April, England), St Andrew's Day (30 November, Scotland). Only Scotland and Northern Ireland have their patron saint's day as an official public holiday."
6,1,6,Which two houses fought in the Wars of the Roses?,"In 1455, a civil war was begun to decide who should be king of England. It was fought between the supporters of two families: the House of Lancaster and the House of York. This war was called the Wars of the Roses, because the symbol of Lancaster was a red rose and the symbol of York was a white rose. The war ended with the Battle of Bosworth Field in 1485. King Richard III of the House of York was killed in the battle and Henry Tudor, the leader of the House of Lancaster, became King Henry VII."
7,1,7,The Bill of Rights of 1689 confirmed the right to vote for all adult men.,"False. The Bill of Rights, 1689, confirmed the rights of Parliament and the limits of the king’s power. Parliament took control of who could be monarch and declared that the king or queen must be a Protestant"
8,1,8,What is the Cenotaph?,"The Cenotaph is a war memorial and it is the site of the annual Remembrance Day service attended by the Queen, politicians and foreign ambassadors."
9,1,9,Who was the first female Prime Minister of the UK?,Margaret Thatcher was the first woman Prime Minister of the UK.
10,1,10,Who chairs the debates at the House of Commons?,Debates in the House of Commons are chaired by the Speaker.
11,1,11,Who was the captain of the English football team that won the World Cup in 1966?,Bobby Moore captained the English football team that won the World Cup in 1966.
12,1,12,When did the English defeat the Spanish Armada?,In 1588 the English defeated the Spanish Armada.
13,1,13,Anyone can make a complaint about the police by writing to the Chief Constable of the police force involved.,"If you are arrested and taken to a police station, a police Officer will tell you the reason for your arrest and you will be able to seek legal advice. If something goes wrong, the police complaints system tries to put it right. Anyone can make a complaint about the police by going to a police station or writing to the Chief Constable of the police force involved. Complaints can also be made to an independent body: the Independent Police Complaints Commission in England"
14,1,14,What is the minimum age required to serve on a jury?,"Jury sizes differ across the UK: in England, Wales and Northern Ireland a jury has 12 members; in Scotland a jury has 15 members. Jurors are randomly selected from the electoral register and must be aged 18 to 70."
15,1,15,How is a jury selected?,"Jury sizes differ across the UK: in England, Wales and Northern Ireland a jury has 12 members; in Scotland a jury has 15 members. Jurors are randomly selected from the electoral register and must be aged 18 to 70."
16,1,16,What is a bank holiday?,"There are public holidays each year called bank holidays, when banks and many other"
17,1,17,What will you be given to vote before a general election takes place?,Before the election you will be sent a poll card.
18,1,18,Which of the following statements is correct?,Solicitors’ charges are usually based on how much time they spend of a case.
19,1,19,"By law, which TWO types of media have to give a balanced coverage of all political parties and equal time to rival viewpoints before an election?","By law, radio and television coverage of the political parties must be balanced and so equal time has to be given to rival viewpoints."
20,1,20,Which of the following territories is a Crown dependency but is NOT part of the UK?,"Channel Islands is a British overseas territory linked to the UK, but it is not part of it."
21,1,21,What did Sir Frank Whittle invent in the 1930s?,The jet engine was developed in Britain in the 1930s by Sir Frank Whittle.
22,1,22,Who wrote ‘The Daffodils’?,The British poet William Wordsworth wrote ‘The Daffodils’.
23,1,23,Who was given the title of Lord Protector?,Oliver Cromwell was given the title of Lord Protector and ruled until his death in 1658.
24,1,24,What are the 40 days before Easter called?,The 40 days before Easter are known as Lent.
25,2,1,What is the Home Secretary responsible for?,"Chancellor of the Exchequer – responsible for the economy Home Secretary – responsible for crime, policing and immigration Foreign Secretary – responsible for managing relationships with foreign countries other ministers (called ‘Secretaries of State’) responsible for subjects such as education, health and defence."
26,2,2,St Helena is a British overseas territory and it is part of the United Kingdom.,"There are also several islands which are closely linked with the UK but are not part of it: the Channel Islands and the Isle of Man. These have their own governments and are called ‘Crown dependencies’. There are also several British overseas territories in other parts of the world, such as St Helena and the Falkland"
27,2,3,Several Church of England bishops sit in the House of Lords.,This statement is true.
28,2,4,"When walking your dog in a public place, you must ensure:",All dogs in public places must wear a collar showing the name and address of the owner.
29,2,5,Women over the age of 30 were given the right to vote as a result of their contribution towards the war effort. Which war was that?,"In 1918, women over the age of 30 were given voting rights and the right to stand for Parliament, partly in recognition of the contribution women made to the war effort during the First World War."
30,2,6,When did Ireland become a republic?,In 1921 a peace treaty was signed and in 1922 Ireland became two countries. The six counties in the north which were mainly Protestant remained part of the UK under the name Northern Ireland. The rest of Ireland became the Irish Free State. It had its own government and became a republic in 1949.
31,2,7,Where did the first farmers come from?,"The first farmers arrived in Britain 6,000 years ago. The ancestors of these first farmers probably came from south-east Europe."
32,2,8,Who was an important contributor to the ‘pop art’ movement of the 1960’s?,David Hockney was an important contributor to the ‘pop art’ movement of the 1960s and continues to be influential today.
33,2,9,Who became Prime Minister and was an inspirational leader to the British people during WWII?,Winston Churchill.
34,2,10,Who led the first invasion of Britain?,"Julius Caesar led a Roman invasion of Britain in 55 BC. This was unsuccessful and for nearly 100 years Britain remained separate from the Roman Empire. In AD 43 the Emperor Claudius led the Roman army in a new invasion. This time, there was resistance from some of the British tribes but the Romans were successful in occupying almost all of Britain."
35,2,11,Under which king did the Anglo-Saxon kingdoms in England unite to defeat the Vikings?,"The Anglo-Saxon kingdoms in England united under King Alfred the Great, who defeated the Vikings."
36,2,12,When was the Magna Carta created?,The Magna Carta was created in 1215.
37,2,13,"Northern Ireland has its own banknotes, which are valid everywhere in the UK.",This statement is true.
38,2,14,Which of the following plays was written by William Shakespeare?,William Shakespeare’s most famous plays include A Midsummer Night’s dream.
39,2,15,"How many members does a jury have in England, Wales and Northern Ireland?","Jury sizes differ across the UK: in England, Wales and Northern Ireland a jury has 12 members; in Scotland a jury has 15 members. Jurors are randomly selected from the electoral register and must be aged 18 to 70."
40,2,16,Which two of the following religious communities celebrate Diwali?,Diwali is celebrated by Hindus and Sikhs.
41,2,17,What is Good Friday?,Good Friday marks the death of Jesus Christ during the Easter.
42,2,18,St Patrick’s day is a public holiday in Northern Ireland.,"Each country in the UK has a patron saint and an associated day: St David's Day (1 March, Wales), St Patrick's Day (17 March, Northern Ireland), St George's Day (23 April, England), St Andrew's Day (30 November, Scotland). Only Scotland and Northern Ireland have their patron saint's day as an official public holiday."
43,2,19,Which was the last successful foreign invasion of England that took place in 1066?,The Norman Conquest was the last successful foreign invasion of England in 1066.
44,2,20,Where are the Crown Jewels kept?,The Crown Jewels are kept at the Tower of London.
45,2,21,Which sport can be traced back to the 15th century in Scotland?,The modern game of golf can be traced back to 15th century Scotland.
46,2,22,Who was the first person in England to print books using a printing press?,William Caxton was the first person in England to print books using a printing press.
47,2,23,"Which court deals with minor criminal cases in England, Wales and Northern Ireland?","The UK court system handles both criminal and civil cases. In England, Wales and Northern Ireland: minor criminal cases go to a Magistrates' Court (heard by magistrates or a District Judge); more serious criminal cases go to the Crown Court (heard by a judge and jury); civil disputes go to the County Court or High Court. In Scotland: minor criminal offences go to a Justice of the Peace Court; more serious cases go to the Sheriff Court or High Court of Justiciary. Youth Courts (for those aged 10–17) are heard by up to three specially trained magistrates or a District Judge — members of the public are not admitted and the accused's name/photo cannot be published."
48,2,24,What did the Scottish John Logie Baird develop?,The television was developed by Scotsman John Logie Baird in the 1920s.
49,3,1,Which of the following is a fundamental principle of British life?,The fundamental principles of British life include: Democracy The rule of law Individual liberty Tolerance of those with different faiths and beliefs Participation in community life.
50,3,2,Wales has its own established church.,"Churches in the UK: Inside a Catholic Church There is no established Church in Wales or Northern Ireland. Other Protestant Christian groups in the UK are Baptists, Methodists, Presbyterians and Quakers. There are also other denominations of Christianity, the biggest of which is Roman Catholic."
51,3,3,How is New Year’s Eve called in Scotland?,"In Scotland, the 31st of December (New Year’s Eve) is called Hogmanay."
52,3,4,Why did Henry VIII establish the church of England?,"To divorce his first wife, Henry needed the approval of the Pope. When the Pope refused, Henry established the church of England."
53,3,5,What is the name of the long war that English kings fought with France in the middle ages?,"English kings fought a long war with France, called the Hundred Years War (even though it actually lasted 116 years)."
54,3,6,Who was supported by clansmen from the Scottish highlands and raised and army in 1745?,"In 1745 there was another attempt to put a Stuart king back on the throne in place of George I’s son, George II. Charles Edward Stuart (Bonnie Prince Charlie), the grandson of James II, landed in Scotland. He was supported by clansmen from the Scottish highlands and raised and army."
55,3,7,"If you think someone is trying to persuade you to join an extremist or terrorist activity, who should you contact?","If you think someone is trying to persuade you to join an extremist or terrorist cause, you should notify your local police force."
56,3,8,It is compulsory for 16 and 17-year-olds to join the National Citizen Service programme.,"False. The National Citizen Service programme, which gives 16- and 17-year-olds the opportunity to enjoy outdoor activities, develop their skills and take part in a community project. Therefore, it is optional."
57,3,9,What is the name of the tour guides that tell visitors stories about the Tower of London’s history?,"Tours are given at the Tower of London by the Yeoman Warders, also known as Beefeaters, who tell visitors about the building’s history."
58,3,10,"Which two countries developed the Concorde, the world’s only supersonic commercial airliner?","Britain and France developed the world’s only supersonic commercial airliner, Concorde."
59,3,11,Where is Snowdonia located?,Snowdonia is in Wales.
60,3,12,Who wrote Sherlock Holmes?,Sir Arthur Conan Doyle is the author of Sherlock Holmes.
61,3,13,Which country was invaded by Germany in 1939?,Germany invaded Poland in 1939.
62,3,14,Who is the patron Saint of Wales?,"Each country in the UK has a patron saint and an associated day: St David's Day (1 March, Wales), St Patrick's Day (17 March, Northern Ireland), St George's Day (23 April, England), St Andrew's Day (30 November, Scotland). Only Scotland and Northern Ireland have their patron saint's day as an official public holiday."
63,3,15,Lake District is the largest national park of England.,This statement is true.
64,3,16,What is the name of the area in London where famous theatres are located?,"London’s west end, also known as ‘Theatreland’, is particularly well known for its theatres."
65,3,17,Which two of the following are key roles of school governors?,"Governors and school boards have an important part to play in raising school standards. They have three key roles: setting the strategic direction of the school, ensuring accountability and monitoring and evaluating school performance."
66,3,18,What led the American colonies to want their independence from Britain?,The British government wanted to tax the colonies.
67,3,19,When did the Black Death take place?,In 1348 (Middle Ages) the Black Death came to Britain.
